Team,Logo,M1,D1,L1,T1,M2,D2,L2,T2,M3,D3,L3,T3,M4,D4,L4,T4,M5,D5,L5,T5,M6,D6,L6,T6,M7,D7,L7,T7,M8,D8,L8,T8,M9,D9,L9,T9,M10,D10,L10,T10,M11,D11,L11,T11,M12,D12,L12,T12
Iowa,\Logos\Iowa.png,SEP,1,H,\Logos\N Illinois.png,SEP,8,H,\Logos\Iowa St.png,SEP,15,H,\Logos\Northern Iowa.png,SEP,22,H,\Logos\Wisconsin.png,OCT,6,A,\Logos\Minnesota.png,OCT,13,A,\Logos\Indiana.png,OCT,20,H,\Logos\Maryland.png,OCT,27,A,\Logos\Penn St.png,NOV,3,A,\Logos\Purdue.png,NOV,10,H,\Logos\Northwestern.png,NOV,17,A,\Logos\Illinois.png,NOV,23,H,\Logos\Nebraska.png
Iowa St,\Logos\Iowa St.png,SEP,1,H,\Logos\S Dakota St.png,SEP,8,A,\Logos\Iowa.png,SEP,15,H,\Logos\Oklahoma.png,SEP,22,H,\Logos\Akron.png,SEP,29,A,\Logos\TCU.png,OCT,6,A,\Logos\Oklahoma St.png,OCT,13,H,\Logos\West Virginia.png,OCT,27,H,\Logos\Texas Tech.png,NOV,3,A,\Logos\Kansas.png,NOV,10,H,\Logos\Baylor.png,NOV,17,A,\Logos\Texas.png,NOV,24,H,\Logos\Kansas St.png
Kansas,\Logos\Kansas.png,SEP,1,H,\Logos\Nicholls St.png,SEP,8,A,\Logos\C Michigan.png,SEP,15,H,\Logos\Rutgers.png,SEP,22,A,\Logos\Baylor.png,SEP,29,H,\Logos\Oklahoma St.png,OCT,6,A,\Logos\West Virginia.png,OCT,20,A,\Logos\Texas Tech.png,OCT,27,H,\Logos\TCU.png,NOV,3,H,\Logos\Iowa St.png,NOV,10,A,\Logos\Kansas St.png,NOV,17,A,\Logos\Oklahoma.png,NOV,23,H,\Logos\Texas.png
Kansas St,\Logos\Kansas St.png,SEP,1,H,\Logos\South Dakota.png,SEP,8,H,\Logos\Mississippi St.png,SEP,15,H,\Logos\UT San Antonio.png,SEP,22,A,\Logos\West Virginia.png,SEP,29,H,\Logos\Texas.png,OCT,6,A,\Logos\Baylor.png,OCT,13,H,\Logos\Oklahoma St.png,OCT,27,A,\Logos\Oklahoma.png,NOV,3,A,\Logos\TCU.png,NOV,10,H,\Logos\Kansas.png,NOV,17,H,\Logos\Texas Tech.png,NOV,24,A,\Logos\Iowa St.png
Kent,\Logos\Kent.png,SEP,1,A,\Logos\Illinois.png,SEP,8,H,\Logos\Howard.png,SEP,15,A,\Logos\Penn St.png,SEP,22,A,\Logos\Mississippi.png,SEP,29,A,\Logos\Ball St.png,OCT,6,H,\Logos\Ohio.png,OCT,13,A,\Logos\Miami OH.png,OCT,20,H,\Logos\Akron.png,OCT,30,A,\Logos\Bowling Green.png,NOV,6,A,\Logos\Buffalo.png,NOV,15,H,\Logos\Toledo.png,NOV,23,H,\Logos\E Michigan.png
Kentucky,\Logos\Kentucky.png,SEP,1,H,\Logos\C Michigan.png,SEP,8,A,\Logos\Florida.png,SEP,15,H,\Logos\Murray St.png,SEP,22,H,\Logos\Mississippi St.png,SEP,29,H,\Logos\South Carolina.png,OCT,6,A,\Logos\Texas A&M.png,OCT,20,H,\Logos\Vanderbilt.png,OCT,27,A,\Logos\Missouri.png,NOV,3,H,\Logos\Georgia.png,NOV,10,A,\Logos\Tennessee.png,NOV,17,H,\Logos\MTSU.png,NOV,24,A,\Logos\Louisville.png
Louisiana Tech,\Logos\Louisiana Tech.png,SEP,1,A,\Logos\South Alabama.png,SEP,8,H,\Logos\Southern Univ.png,SEP,22,A,\Logos\LSU.png,SEP,29,A,\Logos\North Texas.png,OCT,6,H,\Logos\UAB.png,OCT,13,A,\Logos\UT San Antonio.png,OCT,20,H,\Logos\UTEP.png,OCT,26,A,\Logos\FL Atlantic.png,NOV,3,A,\Logos\Mississippi St.png,NOV,10,H,\Logos\Rice.png,NOV,17,A,\Logos\Southern Miss.png,NOV,24,H,\Logos\WKU.png
Louisville,\Logos\Louisville.png,SEP,1,N,\Logos\Alabama.png,SEP,8,H,\Logos\Indiana St.png,SEP,15,H,\Logos\WKU.png,SEP,22,A,\Logos\Virginia.png,SEP,29,H,\Logos\Florida St.png,OCT,5,H,\Logos\Georgia Tech.png,OCT,13,A,\Logos\Boston College.png,OCT,27,H,\Logos\Wake Forest.png,NOV,3,A,\Logos\Clemson.png,NOV,9,A,\Logos\Syracuse.png,NOV,17,H,\Logos\NC State.png,NOV,24,H,\Logos\Kentucky.png
LSU,\Logos\LSU.png,SEP,2,N,\Logos\Miami FL.png,SEP,8,H,\Logos\SE Louisiana.png,SEP,15,A,\Logos\Auburn.png,SEP,22,H,\Logos\Louisiana Tech.png,SEP,29,H,\Logos\Mississippi.png,OCT,6,A,\Logos\Florida.png,OCT,13,H,\Logos\Georgia.png,OCT,20,H,\Logos\Mississippi St.png,NOV,3,H,\Logos\Alabama.png,NOV,10,A,\Logos\Arkansas.png,NOV,17,H,\Logos\Rice.png,NOV,24,A,\Logos\Texas A&M.png
Marshall,\Logos\Marshall.png,SEP,1,A,\Logos\Miami OH.png,SEP,8,H,\Logos\E Kentucky.png,SEP,15,A,\Logos\South Carolina.png,SEP,22,H,\Logos\NC State.png,SEP,29,A,\Logos\WKU.png,OCT,5,H,\Logos\MTSU.png,OCT,13,A,\Logos\Old Dominion.png,OCT,20,H,\Logos\FL Atlantic.png,NOV,3,A,\Logos\Southern Miss.png,NOV,10,H,\Logos\Charlotte.png,NOV,17,H,\Logos\UT San Antonio.png,NOV,24,A,\Logos\Florida Intl.png
Maryland,\Logos\Maryland.png,SEP,1,N,\Logos\Texas.png,SEP,8,A,\Logos\Bowling Green.png,SEP,15,H,\Logos\Temple.png,SEP,22,H,\Logos\Minnesota.png,OCT,6,A,\Logos\Michigan.png,OCT,13,H,\Logos\Rutgers.png,OCT,20,A,\Logos\Iowa.png,OCT,27,H,\Logos\Illinois.png,NOV,3,H,\Logos\Michigan St.png,NOV,10,A,\Logos\Indiana.png,NOV,17,H,\Logos\Ohio St.png,NOV,24,A,\Logos\Penn St.png
Massachusetts,\Logos\Massachusetts.png,AUG,25,H,\Logos\Duquesne.png,SEP,1,A,\Logos\Boston College.png,SEP,8,A,\Logos\Ga Southern.png,SEP,15,A,\Logos\Florida Intl.png,SEP,22,H,\Logos\Charlotte.png,SEP,29,A,\Logos\Ohio.png,OCT,6,H,\Logos\South Florida.png,OCT,20,H,\Logos\Coastal Car.png,OCT,27,A,\Logos\Connecticut.png,NOV,3,H,\Logos\Liberty.png,NOV,10,N,\Logos\BYU.png,NOV,17,A,\Logos\Georgia.png
Memphis,\Logos\Memphis.png,SEP,1,H,\Logos\Mercer.png,SEP,8,A,\Logos\Navy.png,SEP,14,H,\Logos\Georgia St.png,SEP,22,H,\Logos\South Alabama.png,SEP,28,A,\Logos\Tulane.png,OCT,6,H,\Logos\Connecticut.png,OCT,13,H,\Logos\UCF.png,OCT,20,A,\Logos\Missouri.png,NOV,3,A,\Logos\East Carolina.png,NOV,10,H,\Logos\Tulsa.png,NOV,16,A,\Logos\SMU.png,NOV,23,H,\Logos\Houston.png
Miami FL,\Logos\Miami FL.png,SEP,2,N,\Logos\LSU.png,SEP,8,H,\Logos\Savannah St.png,SEP,15,A,\Logos\Toledo.png,SEP,22,H,\Logos\Florida Intl.png,SEP,27,H,\Logos\North Carolina.png,OCT,6,H,\Logos\Florida St.png,OCT,13,A,\Logos\Virginia.png,OCT,26,A,\Logos\Boston College.png,NOV,3,H,\Logos\Duke.png,NOV,10,A,\Logos\Georgia Tech.png,NOV,17,A,\Logos\Virginia Tech.png,NOV,24,H,\Logos\Pittsburgh.png
Miami OH,\Logos\Miami OH.png,SEP,1,H,\Logos\Marshall.png,SEP,8,A,\Logos\Cincinnati.png,SEP,15,A,\Logos\Minnesota.png,SEP,22,A,\Logos\Bowling Green.png,SEP,29,H,\Logos\W Michigan.png,OCT,6,A,\Logos\Akron.png,OCT,13,H,\Logos\Kent.png,OCT,20,A,\Logos\Army.png,OCT,30,A,\Logos\Buffalo.png,NOV,7,H,\Logos\Ohio.png,NOV,14,A,\Logos\N Illinois.png,NOV,20,H,\Logos\Ball St.png
Michigan,\Logos\Michigan.png,SEP,1,A,\Logos\Notre Dame.png,SEP,8,H,\Logos\W Michigan.png,SEP,15,H,\Logos\SMU.png,SEP,22,H,\Logos\Nebraska.png,SEP,29,A,\Logos\Northwestern.png,OCT,6,H,\Logos\Maryland.png,OCT,13,H,\Logos\Wisconsin.png,OCT,20,A,\Logos\Michigan St.png,NOV,3,H,\Logos\Penn St.png,NOV,10,A,\Logos\Rutgers.png,NOV,17,H,\Logos\Indiana.png,NOV,24,A,\Logos\Ohio St.png
Michigan St,\Logos\Michigan St.png,AUG,31,H,\Logos\Utah St.png,SEP,8,A,\Logos\Arizona St.png,SEP,22,A,\Logos\Indiana.png,SEP,29,H,\Logos\C Michigan.png,OCT,6,H,\Logos\Northwestern.png,OCT,13,A,\Logos\Penn St.png,OCT,20,H,\Logos\Michigan.png,OCT,27,H,\Logos\Purdue.png,NOV,3,A,\Logos\Maryland.png,NOV,10,H,\Logos\Ohio St.png,NOV,17,A,\Logos\Nebraska.png,NOV,24,H,\Logos\Rutgers.png
Minnesota,\Logos\Minnesota.png,AUG,30,H,\Logos\New Mexico St.png,SEP,8,H,\Logos\Fresno St.png,SEP,15,H,\Logos\Miami OH.png,SEP,22,A,\Logos\Maryland.png,OCT,6,H,\Logos\Iowa.png,OCT,13,A,\Logos\Ohio St.png,OCT,20,A,\Logos\Nebraska.png,OCT,26,H,\Logos\Indiana.png,NOV,3,A,\Logos\Illinois.png,NOV,10,H,\Logos\Purdue.png,NOV,17,H,\Logos\Northwestern.png,NOV,24,A,\Logos\Wisconsin.png
Mississippi,\Logos\Mississippi.png,SEP,1,N,\Logos\Texas Tech.png,SEP,8,H,\Logos\S Illinois.png,SEP,15,H,\Logos\Alabama.png,SEP,22,H,\Logos\Kent.png,SEP,29,A,\Logos\LSU.png,OCT,6,H,\Logos\ULM.png,OCT,13,N,\Logos\Arkansas.png,OCT,20,H,\Logos\Auburn.png,NOV,3,H,\Logos\South Carolina.png,NOV,10,A,\Logos\Texas A&M.png,NOV,17,A,\Logos\Vanderbilt.png,NOV,22,H,\Logos\Mississippi St.png
Mississippi St,\Logos\Mississippi St.png,SEP,1,H,\Logos\SF Austin.png,SEP,8,A,\Logos\Kansas St.png,SEP,15,H,\Logos\ULL.png,SEP,22,A,\Logos\Kentucky.png,SEP,29,H,\Logos\Florida.png,OCT,6,H,\Logos\Auburn.png,OCT,20,A,\Logos\LSU.png,OCT,27,H,\Logos\Texas A&M.png,NOV,3,H,\Logos\Louisiana Tech.png,NOV,10,A,\Logos\Alabama.png,NOV,17,H,\Logos\Arkansas.png,NOV,22,A,\Logos\Mississippi.png
Missouri,\Logos\Missouri.png,SEP,1,H,\Logos\TN Martin.png,SEP,8,H,\Logos\Wyoming.png,SEP,15,A,\Logos\Purdue.png,SEP,22,H,\Logos\Georgia.png,OCT,6,A,\Logos\South Carolina.png,OCT,13,A,\Logos\Alabama.png,OCT,20,H,\Logos\Memphis.png,OCT,27,H,\Logos\Kentucky.png,NOV,3,A,\Logos\Florida.png,NOV,10,H,\Logos\Vanderbilt.png,NOV,17,A,\Logos\Tennessee.png,NOV,24,H,\Logos\Arkansas.png
MTSU,\Logos\MTSU.png,SEP,1,A,\Logos\Vanderbilt.png,SEP,8,H,\Logos\TN Martin.png,SEP,15,A,\Logos\Georgia.png,SEP,29,H,\Logos\FL Atlantic.png,OCT,5,A,\Logos\Marshall.png,OCT,13,A,\Logos\Florida Intl.png,OCT,20,H,\Logos\Charlotte.png,OCT,27,A,\Logos\Old Dominion.png,NOV,2,H,\Logos\WKU.png,NOV,10,A,\Logos\UTEP.png,NOV,17,A,\Logos\Kentucky.png,NOV,24,H,\Logos\UAB.png
N Illinois,\Logos\N Illinois.png,SEP,1,A,\Logos\Iowa.png,SEP,8,H,\Logos\Utah.png,SEP,15,H,\Logos\C Michigan.png,SEP,22,A,\Logos\Florida St.png,SEP,29,A,\Logos\E Michigan.png,OCT,6,A,\Logos\Ball St.png,OCT,13,H,\Logos\Ohio.png,OCT,27,A,\Logos\BYU.png,NOV,1,A,\Logos\Akron.png,NOV,7,H,\Logos\Toledo.png,NOV,14,H,\Logos\Miami OH.png,NOV,20,A,\Logos\W Michigan.png
NC State,\Logos\NC State.png,SEP,1,H,\Logos\James Madison.png,SEP,8,H,\Logos\Georgia St.png,SEP,15,H,\Logos\West Virginia.png,SEP,22,A,\Logos\Marshall.png,SEP,29,H,\Logos\Virginia.png,OCT,6,H,\Logos\Boston College.png,OCT,20,A,\Logos\Clemson.png,OCT,27,A,\Logos\Syracuse.png,NOV,3,H,\Logos\Florida St.png,NOV,8,H,\Logos\Wake Forest.png,NOV,17,A,\Logos\Louisville.png,NOV,24,A,\Logos\North Carolina.png
Nebraska,\Logos\Nebraska.png,SEP,1,H,\Logos\Akron.png,SEP,8,H,\Logos\Colorado.png,SEP,15,H,\Logos\Troy.png,SEP,22,A,\Logos\Michigan.png,SEP,29,H,\Logos\Purdue.png,OCT,6,A,\Logos\Wisconsin.png,OCT,13,A,\Logos\Northwestern.png,OCT,20,H,\Logos\Minnesota.png,NOV,3,A,\Logos\Ohio St.png,NOV,10,H,\Logos\Illinois.png,NOV,17,H,\Logos\Michigan St.png,NOV,23,A,\Logos\Iowa.png
Nevada,\Logos\Nevada.png,AUG,31,H,\Logos\Portland St.png,SEP,8,A,\Logos\Vanderbilt.png,SEP,15,H,\Logos\Oregon St.png,SEP,22,A,\Logos\Toledo.png,SEP,29,A,\Logos\Air Force.png,OCT,6,H,\Logos\Fresno St.png,OCT,13,H,\Logos\Boise St.png,OCT,20,A,\Logos\Hawaii.png,OCT,27,H,\Logos\San Diego St.png,NOV,10,H,\Logos\Colorado St.png,NOV,17,A,\Logos\San Jose St.png,NOV,24,A,\Logos\UNLV.png
New Mexico,\Logos\New Mexico.png,SEP,1,H,\Logos\Incarnate Word.png,SEP,8,A,\Logos\Wisconsin.png,SEP,15,A,\Logos\New Mexico St.png,SEP,29,H,\Logos\Liberty.png,OCT,6,A,\Logos\UNLV.png,OCT,13,A,\Logos\Colorado St.png,OCT,20,H,\Logos\Fresno St.png,OCT,27,A,\Logos\Utah St.png,NOV,3,H,\Logos\San Diego St.png,NOV,10,A,\Logos\Air Force.png,NOV,16,H,\Logos\Boise St.png,NOV,24,H,\Logos\Wyoming.png
New Mexico St,\Logos\New Mexico St.png,AUG,25,H,\Logos\Wyoming.png,AUG,30,A,\Logos\Minnesota.png,SEP,8,A,\Logos\Utah St.png,SEP,15,H,\Logos\New Mexico.png,SEP,22,A,\Logos\UTEP.png,OCT,6,H,\Logos\Liberty.png,OCT,13,A,\Logos\ULL.png,OCT,20,H,\Logos\Ga Southern.png,OCT,27,A,\Logos\Texas St.png,NOV,3,H,\Logos\Alcorn St.png,NOV,17,A,\Logos\BYU.png,NOV,24,A,\Logos\Liberty.png
North Carolina,\Logos\North Carolina.png,SEP,1,A,\Logos\California.png,SEP,8,A,\Logos\East Carolina.png,SEP,15,H,\Logos\UCF.png,SEP,22,H,\Logos\Pittsburgh.png,SEP,27,A,\Logos\Miami FL.png,OCT,13,H,\Logos\Virginia Tech.png,OCT,20,A,\Logos\Syracuse.png,OCT,27,A,\Logos\Virginia.png,NOV,3,H,\Logos\Georgia Tech.png,NOV,10,A,\Logos\Duke.png,NOV,17,H,\Logos\W Carolina.png,NOV,24,H,\Logos\NC State.png
North Texas,\Logos\North Texas.png,SEP,1,H,\Logos\SMU.png,SEP,8,H,\Logos\Incarnate Word.png,SEP,15,A,\Logos\Arkansas.png,SEP,22,A,\Logos\Liberty.png,SEP,29,H,\Logos\Louisiana Tech.png,OCT,6,A,\Logos\UTEP.png,OCT,13,H,\Logos\Southern Miss.png,OCT,20,A,\Logos\UAB.png,OCT,27,H,\Logos\Rice.png,NOV,10,A,\Logos\Old Dominion.png,NOV,15,H,\Logos\FL Atlantic.png,NOV,24,A,\Logos\UT San Antonio.png
Northwestern,\Logos\Northwestern.png,AUG,30,A,\Logos\Purdue.png,SEP,8,H,\Logos\Duke.png,SEP,15,H,\Logos\Akron.png,SEP,29,H,\Logos\Michigan.png,OCT,6,A,\Logos\Michigan St.png,OCT,13,H,\Logos\Nebraska.png,OCT,20,A,\Logos\Rutgers.png,OCT,27,H,\Logos\Wisconsin.png,NOV,3,H,\Logos\Notre Dame.png,NOV,10,A,\Logos\Iowa.png,NOV,17,A,\Logos\Minnesota.png,NOV,24,H,\Logos\Illinois.png
Notre Dame,\Logos\Notre Dame.png,SEP,1,H,\Logos\Michigan.png,SEP,8,H,\Logos\Ball St.png,SEP,15,H,\Logos\Vanderbilt.png,SEP,22,A,\Logos\Wake Forest.png,SEP,29,H,\Logos\Stanford.png,OCT,6,A,\Logos\Virginia Tech.png,OCT,13,H,\Logos\Pittsburgh.png,OCT,27,N,\Logos\Navy.png,NOV,3,A,\Logos\Northwestern.png,NOV,10,H,\Logos\Florida St.png,NOV,17,N,\Logos\Syracuse.png,NOV,24,A,\Logos\USC.png
Ohio,\Logos\Ohio.png,SEP,1,H,\Logos\Howard.png,SEP,15,A,\Logos\Virginia.png,SEP,22,A,\Logos\Cincinnati.png,SEP,29,H,\Logos\Massachusetts.png,OCT,6,A,\Logos\Kent.png,OCT,13,A,\Logos\N Illinois.png,OCT,20,H,\Logos\Bowling Green.png,OCT,25,H,\Logos\Ball St.png,NOV,1,A,\Logos\W Michigan.png,NOV,7,A,\Logos\Miami OH.png,NOV,14,H,\Logos\Buffalo.png,NOV,23,H,\Logos\Akron.png
Ohio St,\Logos\Ohio St.png,SEP,1,H,\Logos\Oregon St.png,SEP,8,H,\Logos\Rutgers.png,SEP,15,N,\Logos\TCU.png,SEP,22,H,\Logos\Tulane.png,SEP,29,A,\Logos\Penn St.png,OCT,6,H,\Logos\Indiana.png,OCT,13,H,\Logos\Minnesota.png,OCT,20,A,\Logos\Purdue.png,NOV,3,H,\Logos\Nebraska.png,NOV,10,A,\Logos\Michigan St.png,NOV,17,A,\Logos\Maryland.png,NOV,24,H,\Logos\Michigan.png
Oklahoma,\Logos\Oklahoma.png,SEP,1,H,\Logos\FL Atlantic.png,SEP,8,H,\Logos\UCLA.png,SEP,15,A,\Logos\Iowa St.png,SEP,22,H,\Logos\Army.png,SEP,29,H,\Logos\Baylor.png,OCT,6,N,\Logos\Texas.png,OCT,20,A,\Logos\TCU.png,OCT,27,H,\Logos\Kansas St.png,NOV,3,A,\Logos\Texas Tech.png,NOV,10,H,\Logos\Oklahoma St.png,NOV,17,H,\Logos\Kansas.png,NOV,23,A,\Logos\West Virginia.png
Oklahoma St,\Logos\Oklahoma St.png,AUG,30,H,\Logos\Missouri St.png,SEP,8,H,\Logos\South Alabama.png,SEP,15,H,\Logos\Boise St.png,SEP,22,H,\Logos\Texas Tech.png,SEP,29,A,\Logos\Kansas.png,OCT,6,H,\Logos\Iowa St.png,OCT,13,A,\Logos\Kansas St.png,OCT,27,H,\Logos\Texas.png,NOV,3,A,\Logos\Baylor.png,NOV,10,A,\Logos\Oklahoma.png,NOV,17,H,\Logos\West Virginia.png,NOV,24,A,\Logos\TCU.png
Old Dominion,\Logos\Old Dominion.png,SEP,1,A,\Logos\Liberty.png,SEP,8,H,\Logos\Florida Intl.png,SEP,15,A,\Logos\Charlotte.png,SEP,22,H,\Logos\Virginia Tech.png,SEP,29,A,\Logos\East Carolina.png,OCT,6,A,\Logos\FL Atlantic.png,OCT,13,H,\Logos\Marshall.png,OCT,20,A,\Logos\WKU.png,OCT,27,H,\Logos\MTSU.png,NOV,10,H,\Logos\North Texas.png,NOV,17,H,\Logos\VMI.png,NOV,24,A,\Logos\Rice.png
Oregon,\Logos\Oregon.png,SEP,1,H,\Logos\Bowling Green.png,SEP,8,H,\Logos\Portland St.png,SEP,15,H,\Logos\San Jose St.png,SEP,22,H,\Logos\Stanford.png,SEP,29,A,\Logos\California.png,OCT,13,H,\Logos\Washington.png,OCT,20,A,\Logos\Washington St.png,OCT,27,A,\Logos\Arizona.png,NOV,3,H,\Logos\UCLA.png,NOV,10,A,\Logos\Utah.png,NOV,17,H,\Logos\Arizona St.png,NOV,23,A,\Logos\Oregon St.png
Oregon St,\Logos\Oregon St.png,SEP,1,A,\Logos\Ohio St.png,SEP,8,H,\Logos\Southern Utah.png,SEP,15,A,\Logos\Nevada.png,SEP,22,H,\Logos\Arizona.png,SEP,29,A,\Logos\Arizona St.png,OCT,6,H,\Logos\Washington St.png,OCT,20,H,\Logos\California.png,OCT,27,A,\Logos\Colorado.png,NOV,3,H,\Logos\USC.png,NOV,10,A,\Logos\Stanford.png,NOV,17,A,\Logos\Washington.png,NOV,23,H,\Logos\Oregon.png
Penn St,\Logos\Penn St.png,SEP,1,H,\Logos\Appalachian St.png,SEP,8,A,\Logos\Pittsburgh.png,SEP,15,H,\Logos\Kent.png,SEP,21,A,\Logos\Illinois.png,SEP,29,H,\Logos\Ohio St.png,OCT,13,H,\Logos\Michigan St.png,OCT,20,A,\Logos\Indiana.png,OCT,27,H,\Logos\Iowa.png,NOV,3,A,\Logos\Michigan.png,NOV,10,H,\Logos\Wisconsin.png,NOV,17,A,\Logos\Rutgers.png,NOV,24,H,\Logos\Maryland.png
Pittsburgh,\Logos\Pittsburgh.png,SEP,1,H,\Logos\Albany NY.png,SEP,8,H,\Logos\Penn St.png,SEP,15,H,\Logos\Georgia Tech.png,SEP,22,A,\Logos\North Carolina.png,SEP,29,A,\Logos\UCF.png,OCT,6,H,\Logos\Syracuse.png,OCT,13,A,\Logos\Notre Dame.png,OCT,27,H,\Logos\Duke.png,NOV,2,A,\Logos\Virginia.png,NOV,10,H,\Logos\Virginia Tech.png,NOV,17,A,\Logos\Wake Forest.png,NOV,24,A,\Logos\Miami FL.png
Purdue,\Logos\Purdue.png,AUG,30,H,\Logos\Northwestern.png,SEP,8,H,\Logos\E Michigan.png,SEP,15,H,\Logos\Missouri.png,SEP,22,H,\Logos\Boston College.png,SEP,29,A,\Logos\Nebraska.png,OCT,13,A,\Logos\Illinois.png,OCT,20,H,\Logos\Ohio St.png,OCT,27,A,\Logos\Michigan St.png,NOV,3,H,\Logos\Iowa.png,NOV,10,A,\Logos\Minnesota.png,NOV,17,H,\Logos\Wisconsin.png,NOV,24,A,\Logos\Indiana.png
